"","2.5%","50%","97.5%"
"GM_Fgutabs",0.0111674721341964,0.0997588006536186,0.891143330223725
"GM_kgutelim",0.0367374509560595,0.349937749111155,3.3332859266542
"GM_ktot",0.0316202170714048,0.301194211912202,2.86898578477666
"GM_kmratio",0.0110213920330966,1,90.7326403957921
"GM_kuDfrac",0.0301747200079369,0.242723445560786,0.895919991485355
"GSD_Fgutabs",1.02217896340482,1.60342637696556,4.80175708028469
"GSD_kgutelim",1.02217896340482,1.60342637696556,4.80175708028469
"GSD_ktot",1.02217896340482,1.60342637696556,4.80175708028469
"GSD_kmratio",1.02217896340482,1.60342637696556,4.80175708028469
"GSD_kuDfrac",1.02217896340482,1.60342637696556,4.80175708028469
